Fecha,Belisario,IQCA_Belisario,Carapungo,IQCA_Carapungo,Centro,IQCA_Centro,Cotocollao,IQCA_Cotocollao,ElCamal,IQCA_ElCamal,Guamani,IQCA_Guamani,LosChillos,IQCA_LosChillos,SanAntonio,IQCA_SanAntonio,Tumbaco,IQCA_Tumbaco
2004-08-26,,Incorrecto,,Incorrecto,14.085,Deseable,,Incorrecto,22.33,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-08-27,,Incorrecto,,Incorrecto,18.47421052631579,Deseable,,Incorrecto,30.554166666666664,Aceptable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-08-28,,Incorrecto,,Incorrecto,28.24875,Aceptable,,Incorrecto,61.0125,Precaucion,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-08-29,,Incorrecto,,Incorrecto,17.5475,Deseable,,Incorrecto,24.03125,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-08-30,,Incorrecto,,Incorrecto,11.95,Deseable,,Incorrecto,17.263333333333332,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-08-31,,Incorrecto,,Incorrecto,17.208000000000002,Deseable,,Incorrecto,17.91521739130435,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-09-01,,Incorrecto,,Incorrecto,10.373157894736842,Deseable,,Incorrecto,23.025,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-09-02,,Incorrecto,,Incorrecto,17.322,Deseable,,Incorrecto,10.929166666666667,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-09-03,39.345,Aceptable,,Incorrecto,14.19,Deseable,,Incorrecto,11.805,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2004-09-04,21.79583333333333,Deseable,,Incorrecto,12.400833333333331,Deseable,,Incorrecto,9.427,Deseable,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
