Fecha,NO2,O3,PM25,PRE,RS,SO2,TMP,VEL,CO,DIR,HUM,LLU,AOD
2007-07-31,13.03,25.028333333333332,19.71388888888889,742.3505555555555,223.44,0.5533333333333332,14.337222222222222,1.6194444444444445,0.5533333333333332,233.79222222222222,71.02166666666668,1.0055555555555555,334.16769230769233
2007-08-31,13.624761904761906,30.769523809523808,17.16190476190476,743.2228571428572,216.44476190476192,0.5942857142857143,14.093809523809526,1.6928571428571426,0.5942857142857143,237.00619047619048,69.92,1.1476190476190475,340.26785714285717
2007-09-30,16.227272727272727,36.08909090909091,21.045454545454547,743.6872727272728,208.37545454545455,0.6554545454545454,14.763636363636364,1.700909090909091,0.6554545454545454,219.4,65.30454545454546,0.08181818181818182,307.42833333333334
2007-10-31,14.966818181818182,29.998636363636365,18.501363636363635,743.0090909090909,225.45318181818183,0.5395454545454546,13.774545454545455,1.719090909090909,0.5395454545454546,240.98863636363637,76.27954545454546,1.7727272727272727,446.78818181818184
2007-11-30,12.869565217391305,31.02782608695652,15.507826086956522,741.8647826086956,218.7478260869565,0.5765217391304348,14.076086956521738,1.67,0.5765217391304348,243.99217391304347,76.67608695652174,1.2652173913043478,413.85083333333336
2007-12-31,9.920833333333333,26.8,13.51375,742.1195833333333,198.21916666666667,0.6224999999999999,13.441666666666668,1.7316666666666667,0.6224999999999999,253.21625000000003,76.49541666666667,1.3041666666666667,431.00125
2008-01-31,8.622272727272728,20.777727272727272,9.107272727272727,741.35,203.70454545454547,2.5195454545454545,13.84772727272727,1.7186363636363637,0.46545454545454545,277.99954545454545,79.26181818181819,2.1,896.6875
2008-02-29,12.1688,17.9588,11.973199999999999,742.0532000000001,185.642,2.9232,13.1768,1.5319999999999998,0.6036,268.7264,80.1712,3.1519999999999997,875.3699999999999
2008-03-31,12.68625,26.930625,11.736875,742.01375,203.444375,3.1106249999999998,13.64625,1.62375,0.810625,259.7925,78.3175,2.61875,516.0766666666667
2008-04-30,13.267142857142858,26.043333333333333,11.745238095238095,741.2080952380953,193.01095238095238,3.531904761904762,13.886666666666667,1.4957142857142858,0.6090476190476191,261.79714285714283,78.57666666666667,4.042857142857143,406.435
2008-05-31,15.042222222222222,21.31888888888889,14.634444444444446,741.838888888889,198.2788888888889,4.192777777777778,14.102777777777778,1.472777777777778,0.9605555555555555,253.8505555555556,76.86777777777777,2.433333333333333,383.38571428571424
2008-06-30,13.140833333333333,19.214166666666667,13.460833333333333,741.9325,226.3033333333333,4.375,14.174166666666666,1.6808333333333334,0.8375,248.74666666666667,74.83749999999999,0.6,352.67555555555555
2008-07-31,12.451666666666666,22.560000000000002,15.793333333333335,742.4475000000001,194.38916666666668,2.4158333333333335,13.865833333333333,1.5816666666666668,0.8883333333333333,252.9675,72.0825,0.03333333333333333,358.896
2008-08-31,16.686923076923076,28.817692307692308,17.628461538461536,742.0061538461539,185.35615384615386,3.1253846153846156,13.521538461538462,1.56,0.6923076923076923,252.4569230769231,74.35692307692308,0.03076923076923077,314.904
2008-09-30,19.490000000000002,30.056,16.258,742.03,213.08200000000002,5.202,13.952000000000002,1.658,0.874,246.17399999999998,72.892,0.24000000000000005,215.075
2008-10-31,18.935384615384613,29.85,16.24076923076923,742.2246153846154,216.9930769230769,3.7646153846153845,14.05,1.6161538461538463,0.6253846153846154,248.19076923076923,75.13153846153847,0.038461538461538464,400.2033333333334
2008-11-30,14.549999999999999,27.29625,18.34,741.27875,192.70749999999998,3.2956250000000002,13.72125,1.8,0.52125,255.995,76.92875,0.0,484.46000000000004
2008-12-31,15.411818181818182,29.230909090909094,13.985454545454546,741.2390909090909,209.3063636363636,2.8345454545454545,13.77090909090909,1.708181818181818,0.4818181818181818,259.13454545454545,78.15727272727273,0.9545454545454546,390.21
2009-01-31,12.2225,22.98,10.5225,741.79,189.90875,2.31,13.73125,1.56625,0.53,266.85,80.26375,1.725,513.3566666666667
2009-02-28,14.108,28.161333333333335,14.112,740.5553333333334,205.62266666666667,3.4806666666666666,14.187999999999999,1.5546666666666666,0.5833333333333334,271.11466666666666,77.946,5.833333333333333,485.896
2009-03-31,10.59,34.4325,15.395,740.5575,232.51250000000002,2.6174999999999997,15.0825,1.8849999999999998,0.495,274.9,75.22749999999999,0.125,363.54
